distinct_values,count,column_name
01100,5,LatestAgencyD_01
01103,22,LatestAgencyD_01
01104,8,LatestAgencyD_01
01105,18,LatestAgencyD_01
01108,1,LatestAgencyD_01
01109,7224,LatestAgencyD_01
01110,1,LatestAgencyD_01
01113,2,LatestAgencyD_01
01114,2,LatestAgencyD_01
01118,7,LatestAgencyD_01
01119,96,LatestAgencyD_01
01120,17,LatestAgencyD_01
01125,57,LatestAgencyD_01
01127,1,LatestAgencyD_01
01128,1,LatestAgencyD_01
01130,7,LatestAgencyD_01
01135,7,LatestAgencyD_01
01139,15,LatestAgencyD_01
01142,79,LatestAgencyD_01
01144,4,LatestAgencyD_01
01146,22,LatestAgencyD_01
01147,5,LatestAgencyD_01
01148,5,LatestAgencyD_01
01150,155,LatestAgencyD_01
01151,16,LatestAgencyD_01
01152,11,LatestAgencyD_01
01154,15,LatestAgencyD_01
01158,1,LatestAgencyD_01
01162,4,LatestAgencyD_01
01163,31,LatestAgencyD_01
01165,20,LatestAgencyD_01
01166,3,LatestAgencyD_01
01167,10,LatestAgencyD_01
01168,54,LatestAgencyD_01
01169,1,LatestAgencyD_01
01171,38,LatestAgencyD_01
01173,289,LatestAgencyD_01
01176,3,LatestAgencyD_01
01177,8,LatestAgencyD_01
01179,25,LatestAgencyD_01
01181,2,LatestAgencyD_01
01184,45,LatestAgencyD_01
01185,12,LatestAgencyD_01
01186,36,LatestAgencyD_01
01191,252,LatestAgencyD_01
01194,490,LatestAgencyD_01
01195,1,LatestAgencyD_01
01196,158,LatestAgencyD_01
01198,5,LatestAgencyD_01
01199,1,LatestAgencyD_01
01202,7,LatestAgencyD_01
01203,1,LatestAgencyD_01
01204,5,LatestAgencyD_01
01208,36,LatestAgencyD_01
01210,1,LatestAgencyD_01
01211,3,LatestAgencyD_01
01213,4,LatestAgencyD_01
01215,3,LatestAgencyD_01
01217,27,LatestAgencyD_01
01218,10,LatestAgencyD_01
01220,21,LatestAgencyD_01
01221,5,LatestAgencyD_01
01223,1,LatestAgencyD_01
01225,3,LatestAgencyD_01
01228,69,LatestAgencyD_01
01229,4,LatestAgencyD_01
01230,4,LatestAgencyD_01
01231,1,LatestAgencyD_01
01232,25,LatestAgencyD_01
01235,1,LatestAgencyD_01
01236,3,LatestAgencyD_01
01239,1,LatestAgencyD_01
01241,7,LatestAgencyD_01
01242,48,LatestAgencyD_01
01243,19,LatestAgencyD_01
01244,9,LatestAgencyD_01
01245,70,LatestAgencyD_01
01250,29,LatestAgencyD_01
01251,152,LatestAgencyD_01
01253,5,LatestAgencyD_01
01254,1,LatestAgencyD_01
01256,1,LatestAgencyD_01
01257,19,LatestAgencyD_01
01259,62,LatestAgencyD_01
01261,2,LatestAgencyD_01
01262,21,LatestAgencyD_01
01264,23,LatestAgencyD_01
01265,90,LatestAgencyD_01
01266,4,LatestAgencyD_01
01268,2,LatestAgencyD_01
